episode_id,scenario,seed,capacity,pressure_factor,old_gate,evidence_set_disagreement,full_cache_disagreement,eviction_sequence_disagreement,pearson,spearman,strict_rank_reversal,rmm_like_full_cache_retention,rmm_like_original_retention,rmm_like_answer_proxy,task_utility_full_cache_retention,task_utility_original_retention,task_utility_answer_proxy
repeated_useful-s7-c8-p2,repeated_useful,7,8,2,False,False,False,False,,,False,1.0,1.0,1.0,1.0,1.0,1.0
related_nonidentical-s7-c8-p2,related_nonidentical,7,8,2,False,False,True,True,0.47745242614756295,0.0,True,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0
frequent_useless-s7-c8-p2,frequent_useless,7,8,2,False,False,True,True,-0.37463432463267765,-0.2581988897471611,True,1.0,1.0,1.0,1.0,1.0,1.0
state_update-s7-c8-p2,state_update,7,8,2,False,False,False,False,,,False,0.0,0.0,0.0,0.0,0.0,0.0
negation_condition-s7-c8-p2,negation_condition,7,8,2,False,False,True,True,0.47745242614756295,0.0,True,1.0,0.75,1.0,1.0,0.75,1.0
cross_event-s7-c8-p2,cross_event,7,8,2,True,True,True,True,-0.28231621315165206,0.2581988897471611,True,1.0,0.6666666666666666,1.0,0.3333333333333333,0.16666666666666666,0.0
delayed_reuse-s7-c8-p2,delayed_reuse,7,8,2,False,False,False,False,,,False,0.5,0.25,0.5,0.5,0.25,0.5
obsolete_information-s7-c8-p2,obsolete_information,7,8,2,False,False,False,False,,,False,0.0,0.0,0.0,0.0,0.0,0.0
redundant_evidence-s7-c8-p2,redundant_evidence,7,8,2,True,True,True,True,,,False,1.0,1.0,1.0,0.0,0.0,0.0
repeated_useful-s7-c8-p4,repeated_useful,7,8,4,False,False,False,False,,,False,1.0,1.0,1.0,1.0,1.0,1.0
related_nonidentical-s7-c8-p4,related_nonidentical,7,8,4,False,False,True,True,0.47745242614756295,0.0,True,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0
frequent_useless-s7-c8-p4,frequent_useless,7,8,4,False,False,True,True,-0.37463432463267765,-0.2581988897471611,True,1.0,1.0,1.0,1.0,1.0,1.0
state_update-s7-c8-p4,state_update,7,8,4,False,False,False,False,,,False,0.0,0.0,0.0,0.0,0.0,0.0
negation_condition-s7-c8-p4,negation_condition,7,8,4,False,False,True,True,0.47745242614756295,0.0,True,1.0,0.75,1.0,1.0,0.75,1.0
cross_event-s7-c8-p4,cross_event,7,8,4,True,True,True,True,-0.28231621315165206,0.2581988897471611,True,1.0,0.6666666666666666,1.0,0.3333333333333333,0.16666666666666666,0.0
delayed_reuse-s7-c8-p4,delayed_reuse,7,8,4,False,False,False,False,,,False,0.5,0.25,0.5,0.5,0.25,0.5
obsolete_information-s7-c8-p4,obsolete_information,7,8,4,False,False,False,False,,,False,0.0,0.0,0.0,0.0,0.0,0.0
redundant_evidence-s7-c8-p4,redundant_evidence,7,8,4,True,True,True,True,,,False,1.0,1.0,1.0,0.0,0.0,0.0
repeated_useful-s7-c16-p2,repeated_useful,7,16,2,False,False,False,False,,,False,1.0,1.0,1.0,1.0,1.0,1.0
related_nonidentical-s7-c16-p2,related_nonidentical,7,16,2,False,False,True,True,0.47745242614756295,0.0,True,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0
frequent_useless-s7-c16-p2,frequent_useless,7,16,2,False,False,True,True,-0.37463432463267765,-0.2581988897471611,True,1.0,1.0,1.0,1.0,1.0,1.0
state_update-s7-c16-p2,state_update,7,16,2,False,False,False,False,,,False,0.0,0.0,0.0,0.0,0.0,0.0
negation_condition-s7-c16-p2,negation_condition,7,16,2,False,False,True,True,0.47745242614756295,0.0,True,1.0,0.75,1.0,1.0,0.75,1.0
cross_event-s7-c16-p2,cross_event,7,16,2,True,True,True,True,-0.28231621315165206,0.2581988897471611,True,1.0,0.6666666666666666,1.0,0.3333333333333333,0.16666666666666666,0.0
delayed_reuse-s7-c16-p2,delayed_reuse,7,16,2,False,False,False,False,,,False,0.5,0.25,0.5,0.5,0.25,0.5
obsolete_information-s7-c16-p2,obsolete_information,7,16,2,False,False,False,False,,,False,0.0,0.0,0.0,0.0,0.0,0.0
redundant_evidence-s7-c16-p2,redundant_evidence,7,16,2,True,True,True,True,,,False,1.0,1.0,1.0,0.0,0.0,0.0
repeated_useful-s7-c16-p4,repeated_useful,7,16,4,False,False,False,False,,,False,1.0,1.0,1.0,1.0,1.0,1.0
related_nonidentical-s7-c16-p4,related_nonidentical,7,16,4,False,False,True,True,0.47745242614756295,0.0,True,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0
frequent_useless-s7-c16-p4,frequent_useless,7,16,4,False,False,True,True,-0.37463432463267765,-0.2581988897471611,True,1.0,1.0,1.0,1.0,1.0,1.0
state_update-s7-c16-p4,state_update,7,16,4,False,False,False,False,,,False,0.0,0.0,0.0,0.0,0.0,0.0
